IndividualNumber,ROINumber,ImageLabel,IL_Site,IL_Number,IL_DV,TubeLabel,Event,TaxonCode,Family,Subfamily,Supertribe,Tribe,Subtribe,Genus,Group,SubspeciesEpithet,SpeciesName,Area_SQ_mm_Dorsal,Perimeter_Dorsal,BBWidth_Dorsal,BBHeight_Dorsal,MajorAxis_Dorsal,MinorAxis_Dorsal,Angle_Dorsal,Circ_Dorsal,Feret_Dorsal,IntDen_Dorsal,RawIntDen_Dorsal,FeretX_Dorsal,FeretY_Dorsal,FeretAngle_Dorsal,MinFeret_Dorsal,AR_Dorsal,Round_Dorsal,Solidity_Dorsal,Area_SQ_mm_Ventral,Perimeter_Ventral,BBWidth_Ventral,BBHeight_Ventral,MajorAxis_Ventral,MinorAxis_Ventral,Angle_Ventral,Circ_Ventral,Feret_Ventral,IntDen_Ventral,RawIntDen_Ventral,FeretX_Ventral,FeretY_Ventral,FeretAngle_Ventral,MinFeret_Ventral,AR_Ventral,Round_Ventral,Solidity_Ventral,cIL_Site,cIL_Number,cROINumber,mean_Red_Dorsal,stddev_Red_Dorsal,min_Red_Dorsal,max_Red_Dorsal,intden_Red_Dorsal,skew_Red_Dorsal,kurt_Red_Dorsal,rawintdens_Red_Dorsal,mean_Green_Dorsal,stddev_Green_Dorsal,min_Green_Dorsal,max_Green_Dorsal,intden_Green_Dorsal,skew_Green_Dorsal,kurt_Green_Dorsal,rawintdens_Green_Dorsal,mean_Blue_Dorsal,stddev_Blue_Dorsal,min_Blue_Dorsal,max_Blue_Dorsal,intden_Blue_Dorsal,skew_Blue_Dorsal,kurt_Blue_Dorsal,rawintdens_Blue_Dorsal,mean_Red_Ventral,stddev_Red_Ventral,min_Red_Ventral,max_Red_Ventral,intden_Red_Ventral,skew_Red_Ventral,kurt_Red_Ventral,rawintdens_Red_Ventral,mean_Green_Ventral,stddev_Green_Ventral,min_Green_Ventral,max_Green_Ventral,intden_Green_Ventral,skew_Green_Ventral,kurt_Green_Ventral,rawintdens_Green_Ventral,mean_Blue_Ventral,stddev_Blue_Ventral,min_Blue_Ventral,max_Blue_Ventral,intden_Blue_Ventral,skew_Blue_Ventral,kurt_Blue_Ventral,rawintdens_Blue_Ventral
205,211,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,17.835,20.542,5,6.545,6.255,3.631,64.742,0.531,6.843,1515.95,183430,109,216.182,70.602,4.713,1.723,0.58,0.808,15.843,18.516,3.182,6.727,6.869,2.936,99.087,0.581,6.923,1346.65,162945,112.455,205.818,103.671,3.182,2.339,0.427,0.91,CPER,3,211,63.276,25.193,21,159,189.915,1.428,1.852,138448,57.705,22.265,21,153,173.195,1.519,2.242,126259,55.678,20.927,19,149,167.11,1.575,2.548,121823,63.866,25.063,28,155,166.366,1.623,2.256,121281,54.264,23.357,21,147,141.355,1.778,2.885,103048,50.8,22.076,18,144,132.331,1.832,3.302,96469
200,207,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,10.975,15.984,3,5.455,5.61,2.491,103.462,0.54,5.706,932.893,112880,44.636,207.091,112.479,2.928,2.252,0.444,0.884,11.455,15.727,3.091,5.727,5.985,2.437,71.659,0.582,6.037,973.636,117810,50.273,211.636,71.565,2.901,2.456,0.407,0.895,CPER,3,207,65.28,22,29,160,119.188,1.6,2.493,86888,58.309,19.373,23,134,106.46,1.514,2.178,77609,58,17.05,24,120,105.896,1.526,2.51,77198,68.903,30.071,32,182,178.449,1.713,2.434,130089,60.029,28.831,23,177,155.466,1.9,3.447,113335,57.283,27.828,23,176,148.355,2.017,4.197,108151
208,204,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,14.165,20.116,4.182,6.273,6.065,2.974,79.705,0.44,6.584,1204.05,145690,140,212.727,72.316,4.108,2.04,0.49,0.798,15.661,22.781,4.455,6.455,6.182,3.226,80.158,0.379,6.471,1331.2,161075,143.455,212.455,85.972,4.425,1.916,0.522,0.808,CPER,3,204,58.623,27.565,22,169,139.602,1.58,1.913,101770,52.686,24.019,21,159,125.464,1.691,2.429,91463,50.924,22.207,16,157,121.267,1.794,3.047,88404,64.698,19.105,32,160,149.276,1.847,3.992,108822,53.822,18.008,24,135,124.182,1.886,4.014,90529,50.727,17.499,19,128,117.041,1.813,3.849,85323
209,205,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,12.017,17.448,3.455,5.455,5.106,2.996,94.628,0.496,5.563,1021.41,123590,152.091,206.636,101.31,3.455,1.704,0.587,0.838,13.041,15.381,2.909,5.818,5.892,2.818,91.272,0.693,5.853,1108.51,134130,152.727,212.091,83.758,2.909,2.091,0.478,0.934,CPER,3,205,67.19,27.24,28,170,135.578,1.323,0.978,98836,62.477,23.657,24,162,126.069,1.298,1.347,91904,59.374,22.21,23,167,119.807,1.368,1.981,87339,61.038,21.698,27,161,147.361,1.89,3.796,107426,51.994,20.257,21,138,125.528,1.878,3.56,91510,49.459,19.018,17,126,119.407,1.883,3.591,87048
198,201,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.587,18.144,3.273,6.727,6.545,2.643,105.524,0.519,7.045,1154.88,139740,19.545,205.818,107.266,2.986,2.476,0.404,0.862,14.017,18.144,2.818,7.091,6.741,2.647,84.907,0.535,7.119,1191.41,144160,23.545,213.455,84.872,2.818,2.546,0.393,0.908,CPER,3,201,68.831,22.712,31,163,155.602,1.503,2.07,113434,62.427,19.728,28,135,141.123,1.341,1.604,102879,60.117,18.117,28,120,135.901,1.366,1.737,99072,64.501,24.478,31,160,167.668,1.567,2.059,122230,52.843,21.568,25,137,137.364,1.753,2.644,100138,48.851,19.927,19,120,126.986,1.801,3.022,92573
203,203,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.612,17.341,2.909,6.727,6.637,2.611,87.928,0.569,6.757,1156.98,139995,78.364,213,84.596,2.837,2.541,0.393,0.906,13.884,16.977,3.364,6.545,6.737,2.624,74.221,0.605,6.77,1180.17,142800,80.909,212.909,75.217,2.779,2.568,0.389,0.928,CPER,3,203,59.188,25.21,24,157,134.37,1.566,2.008,97956,54.479,22.196,21,148,123.679,1.576,2.145,90162,53.483,20.559,18,143,121.418,1.497,2.042,88514,67.516,23.257,33,164,157.444,1.603,2.371,114777,56.202,21.012,26,136,131.06,1.642,2.3,95543,52.588,19.078,22,132,122.632,1.635,2.535,89399
210,200,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.81,17.451,3.091,6.364,6.373,2.759,98.129,0.57,6.472,1173.84,142035,159.636,205.455,100.521,3.087,2.31,0.433,0.909,14.529,18.329,3.182,6.636,6.605,2.801,81.111,0.543,6.725,1234.96,149430,161.182,213.091,80.665,3.121,2.358,0.424,0.909,CPER,3,200,58.468,21.794,21,153,134.259,1.645,3.077,97875,55.061,19.861,19,133,126.436,1.513,2.476,92172,53.448,18.575,19,133,122.733,1.55,2.724,89472,65.953,21.267,32,154,125.392,1.712,2.917,91411,54.576,19.884,24,128,103.763,1.782,3.08,75643,50.999,18.442,20,120,96.962,1.797,3.335,70685
211,202,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.636,23.721,3.273,7.727,7.186,2.416,94.313,0.305,7.761,1159.09,140250,168.364,206,95.377,3.27,2.974,0.336,0.762,14.769,21.527,3.545,7.364,7.176,2.621,84.576,0.4,7.42,1255.33,151895,170.818,214.455,82.962,3.12,2.738,0.365,0.84,CPER,3,202,67.955,23.923,30,156,154.274,1.572,1.934,112466,60.848,20.977,24,134,138.14,1.498,1.615,100704,58.565,19.491,22,120,132.956,1.428,1.499,96925,63.094,19.306,26,160,136.573,1.643,3.168,99562,52.09,17.86,22,132,112.754,1.825,3.863,82198,47.273,17.008,15,120,102.328,1.967,4.473,74597
202,198,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.223,22.214,3.909,6.364,6.363,2.646,101.548,0.337,6.49,1123.97,136000,65.818,205.273,101.31,3.432,2.405,0.416,0.763,14.975,21.611,3.636,6.455,6.348,3.004,83.93,0.403,6.546,1272.89,154020,72.636,213.636,80.407,3.498,2.113,0.473,0.845,CPER,3,198,67.046,27.699,27,159,150.003,1.307,0.8,109352,60.808,25.278,21,154,136.047,1.334,0.995,99178,58.676,23.757,22,154,131.277,1.402,1.472,95701,63.775,20.173,25,157,150.558,1.679,3.067,109757,52.668,19.481,19,152,124.337,1.847,3.691,90642,49.344,18.574,19,153,116.49,1.947,4.326,84921
204,208,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,15.612,19.385,3.545,6.727,6.557,3.032,91.612,0.522,6.749,1326.98,160565,98.636,213.909,85.365,3.497,2.163,0.462,0.862,14.917,17.815,4,6.273,6.698,2.836,67.953,0.591,6.77,1267.97,153425,98.364,213.727,67.913,3.16,2.362,0.423,0.9,CPER,3,208,65.541,25.703,34,167,171.628,1.518,1.522,125117,59.76,22.64,27,149,156.491,1.523,1.611,114082,56.701,20.417,23,131,148.481,1.533,1.787,108243,66.581,20.086,28,169,164.855,2.085,5.416,120179,54.979,19.76,21,148,136.128,2.001,4.514,99237,50.874,18.436,18,120,125.964,1.766,3.477,91828
207,209,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.273,18.702,3.455,6.636,6.761,2.5,105.152,0.477,6.9,1128.18,136510,130.091,207.182,108.435,2.904,2.705,0.37,0.836,14.975,18.812,4.818,6.091,6.972,2.735,55.262,0.532,7.112,1272.89,154020,133.091,213.636,57.529,3.122,2.549,0.392,0.877,CPER,3,209,63.528,22.274,29,169,140.564,1.585,2.258,102471,57.805,20.138,23,144,127.901,1.587,2.129,93240,55.606,19.145,24,121,123.034,1.612,2.221,89692,65.249,19.025,34,155,162.182,1.802,3.816,118231,53.863,17.983,26,136,133.882,1.83,3.756,97600,50.276,17.282,18,120,124.966,1.792,3.597,91100
199,206,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,11.306,17.589,3.636,5.727,5.514,2.61,99.651,0.459,5.773,960.992,116280,31.727,207.091,97.237,3.542,2.112,0.473,0.77,11.405,19.27,3.909,5.455,5.726,2.536,108.295,0.386,6.003,969.421,117300,37.636,207.909,122.005,3.037,2.258,0.443,0.799,CPER,3,206,67.651,24.831,31,158,127.599,1.318,1.05,93020,61.209,21.71,27,139,115.449,1.339,1.164,84162,59.306,20.109,26,127,111.86,1.341,1.28,81546,68.652,23.728,32,162,168.288,1.42,1.717,122682,55.992,21.543,23,135,137.254,1.511,1.918,100058,52.489,19.888,21,120,128.667,1.542,2.069,93798
206,210,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,15.041,19.558,3.182,6.636,6.596,2.903,92.093,0.494,6.676,1278.51,154700,119.636,208.455,96.254,3.12,2.272,0.44,0.894,15.496,18.316,3.545,6.273,6.474,3.047,102.752,0.58,6.557,1317.15,159375,124.273,207.909,106.928,3.256,2.125,0.471,0.913,CPER,3,210,59.622,24.642,25,154,149.996,1.614,2.019,109347,55.457,21.6,20,131,139.519,1.562,2,101709,54.571,20.021,20,129,137.289,1.539,2.094,100084,68.174,22.579,32,159,129.053,1.479,1.842,94080,55.723,21.061,27,137,105.484,1.515,1.781,76898,51.993,20.076,22,120,98.424,1.528,1.9,71751
218,219,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.562,20.52,3.091,6.182,6.217,2.777,83.121,0.405,6.331,1152.77,139485,94.818,223.364,74.168,3.017,2.239,0.447,0.848,14.711,17.705,3.455,6.455,6.51,2.877,84.735,0.59,6.518,1250.41,151300,92.364,220.273,81.983,3.093,2.263,0.442,0.89,CPER,3,219,58.963,23.967,22,159,134.102,1.804,2.906,97760,53.184,21.842,18,150,120.959,1.806,3.049,88179,52.714,20.349,18,150,119.89,1.876,3.601,87400,63.295,21.539,27,147,140.307,1.58,2.529,102284,52.914,19.795,20,129,117.296,1.68,2.836,85509,49.495,18.712,17,121,109.717,1.762,3.291,79984
219,212,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,15.066,24.577,3.818,7.091,7.003,2.739,99.029,0.313,7.277,1280.62,154955,104.455,214.455,102.995,3.349,2.557,0.391,0.794,14.736,22.866,4,6.909,7.022,2.672,75.615,0.354,7.193,1252.52,151555,106.818,222.818,73.856,3.217,2.628,0.381,0.816,CPER,3,212,63.569,25.322,21,168,159.752,1.455,1.997,116459,56.022,21.939,19,139,140.786,1.456,1.966,102633,54.428,20.05,17,120,136.779,1.47,2.124,99712,62.606,21.11,30,159,153.723,1.76,3.396,112064,51.978,20.594,21,154,127.628,1.907,3.976,93041,49.969,19.572,21,151,122.695,1.945,4.305,89445
217,216,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.702,19.323,3.091,6.182,6.221,2.805,102.009,0.461,6.411,1164.71,140930,85.091,216.182,108.178,3.061,2.218,0.451,0.91,14.397,19.499,4.545,5.727,6.49,2.824,56.318,0.476,6.582,1223.72,148070,80.455,222.182,57.407,3.118,2.298,0.435,0.895,CPER,3,216,62.616,21.353,25,162,142.926,1.737,3.42,104193,56.755,19.491,23,152,129.547,1.707,3.158,94440,53.837,18.179,19,151,122.888,1.745,3.468,89585,65.191,20.72,30,168,140.218,1.623,3.282,102219,54.776,19.736,24,166,117.816,1.76,3.715,85888,51.923,19.226,19,165,111.682,1.742,3.881,81416
220,213,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,10.314,16.924,2.545,6.091,5.91,2.222,88.72,0.453,6.146,876.694,106080,114.727,221.273,82.349,2.545,2.66,0.376,0.85,10.669,16.219,2.818,5.636,5.786,2.348,77.171,0.51,5.836,906.901,109735,118.091,222,71.847,2.573,2.465,0.406,0.9,CPER,3,213,65.573,23.299,32,163,112.796,1.504,1.989,82228,60.695,20.908,27,138,104.405,1.432,1.827,76111,58.455,19.154,26,120,100.553,1.337,1.673,73303,69.87,22.058,33,160,170.889,1.593,2.327,124578,56.358,21.117,21,140,137.841,1.639,2.368,100486,52.368,19.72,19,120,128.082,1.574,2.289,93372
213,215,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,11.967,16.88,2.818,6,6.15,2.478,99.801,0.528,6.153,1017.19,123080,37.091,216.091,102.804,2.797,2.482,0.403,0.904,12.901,16.1,2.909,6.273,6.25,2.628,97.076,0.625,6.352,1096.57,132685,41.727,216.636,99.058,2.894,2.378,0.421,0.9,CPER,3,215,62.443,21.625,26,156,124.372,1.629,2.686,90667,56.85,19.323,21,132,113.232,1.483,2.204,82546,56.098,17.864,20,120,111.735,1.445,2.262,81455,67.804,23.082,34,161,120.169,1.683,2.41,87603,55.947,21.127,24,138,99.155,1.743,2.536,72284,51.673,19.448,22,122,91.579,1.729,2.641,66761
215,214,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,14.207,21.624,4.364,6.727,6.506,2.78,84.282,0.382,6.801,1207.56,146115,62.091,222.455,81.545,3.931,2.34,0.427,0.722,14.975,18.467,3.636,6.636,6.537,2.917,84.633,0.552,6.711,1272.89,154020,65.909,223.364,81.431,3.483,2.241,0.446,0.836,CPER,3,214,65.092,23.066,30,166,153.757,1.634,2.667,112089,59.179,20.246,24,138,139.79,1.522,2.215,101907,56.365,18.722,23,126,133.141,1.533,2.213,97060,63.978,21.258,32,158,153.845,1.844,3.515,112153,52.669,20.435,25,155,126.65,1.982,3.95,92328,48.716,19.457,20,152,117.145,2.038,4.404,85399
212,217,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,14.818,17.78,3,7,6.831,2.762,91.548,0.589,7.002,1259.55,152405,26.182,216.364,91.488,3,2.473,0.404,0.895,14.421,19.624,3.273,7,6.76,2.716,98.551,0.471,7.115,1225.83,148325,25.727,217.455,100.305,3.007,2.488,0.402,0.879,CPER,3,217,57.894,23.441,19,149,142.472,1.17,1.763,103862,53.232,21.298,15,128,131,1.057,1.357,95499,51.623,19.943,15,120,127.04,1.065,1.443,92612,65.651,25.844,29,172,166.964,1.736,2.867,121717,54.698,24.652,21,169,139.11,1.892,3.62,101411,51.41,23.721,20,169,130.748,1.991,4.227,95315
214,218,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,13.182,18.68,3.364,6,6.072,2.764,98.096,0.475,6.182,1120.45,135575,49.545,217.091,109.767,3.219,2.196,0.455,0.827,13.347,16.068,3.818,5.636,6.133,2.771,63.871,0.65,6.148,1134.5,137275,52.545,223.909,66.468,3.037,2.213,0.452,0.919,CPER,3,218,63.714,23.756,30,149,140.188,1.431,1.45,102197,57.52,21.504,24,134,126.56,1.451,1.479,92262,54.281,19.876,24,120,119.432,1.521,1.739,87066,64.291,23.079,31,165,154.686,1.509,2.208,112766,54.029,21.551,24,162,129.995,1.673,2.741,94766,50.984,20.569,22,167,122.669,1.798,3.362,89426
216,220,CPER_03_DORSAL.tif,CPER,3,Dorsal,CPER_002.20160714.DISPAR1.01,CPER_002.20160714,DISPAR,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Discoderus,parallelus,parallelus,Discoderus parallelus,14.289,19.611,3.091,6.545,6.532,2.785,89.685,0.467,6.576,1214.59,146965,75.091,225,84.447,3.091,2.346,0.426,0.897,14.388,17.429,3.364,6.636,6.689,2.739,77.657,0.595,6.794,1223.02,147985,72.818,224.909,77.638,3.059,2.442,0.409,0.909,CPER,3,220,58.238,23.818,20,158,138.765,1.372,2.215,101160,53.848,21.354,17,136,128.305,1.277,1.868,93534,52.36,19.808,16,120,124.76,1.224,1.9,90950,60.308,19.899,29,158,144.027,1.881,3.997,104996,49.765,19.023,21,134,118.848,2.046,4.436,86640,46.716,17.964,18,120,111.567,2.078,4.589,81332
2,1,CPER_04_DORSAL.tif,CPER,4,Dorsal,CPER_002.20160811.CHLTOM.01,CPER_002.20160811,CHLTOM,Carabidae,Harpalinae,Pterostichitae,Chlaeniini,Chlaeniini,Chlaenius,tomentosus,tomentosus,Chlaenius tomentosus,75.207,69.041,7.182,20.818,15.406,6.215,90.562,0.198,20.932,6392.56,773500,32.364,4,95.983,6.96,2.479,0.403,0.699,73.215,63.825,11,17.182,13.811,6.75,76.175,0.226,18.215,6223.26,753015,28.636,22.727,63.947,7.985,2.046,0.489,0.689,CPER,4,1,63.614,31.557,21,175,842.51,1.309,0.923,614190,56.666,31.121,17,170,750.501,1.401,1.182,547115,54.892,30.405,12,168,726.993,1.48,1.461,529978,57.799,35.383,14,192,745.365,1.546,1.497,543371,53.054,34.268,9,188,684.171,1.637,1.88,498761,52.659,33.235,6,187,679.081,1.718,2.271,495050
3,3,CPER_04_DORSAL.tif,CPER,4,Dorsal,CPER_005.N.20160714.CRADUB.01,CPER_005.20160714,CRADUB,Carabidae,Harpalinae,Harpalitae,Harpalini,Harpalina,Cratacanthus,dubius,dubius,Cratacanthus dubius,28.198,31.551,6.545,8.909,8.555,4.197,76.07,0.356,8.923,2396.86,290020,137.909,18.727,81.209,5.952,2.039,0.491,0.758,28.975,34.717,5.909,9.091,8.798,4.193,77.872,0.302,9.393,2462.89,298010,139.182,5.909,104.574,5.76,2.098,0.477,0.742,CPER,4,3,61.759,29.52,22,186,296.597,1.699,2.839,216219,54.238,27.216,16,179,260.477,1.936,4.212,189888,52.871,25.843,16,179,253.909,2.099,5.284,185100,50.681,26.712,4,146,583.695,1.425,1.049,425514,46.235,25.525,5,139,532.491,1.468,1.259,388186,46.312,24.818,2,139,533.387,1.463,1.319,388839
1,2,CPER_04_DORSAL.tif,CPER,4,Dorsal,CPER_002.20160811.CHLTOM.01,CPER_002.20160811,CHLTOM,Carabidae,Harpalinae,Pterostichitae,Chlaeniini,Chlaeniini,Chlaenius,tomentosus,tomentosus,Chlaenius tomentosus,73.76,57.436,8.364,15.545,13.82,6.796,88.713,0.281,15.597,6269.63,758625,14.818,23.273,85.32,7.771,2.034,0.492,0.798,69.355,61.787,8.818,15.182,13.498,6.542,85.034,0.228,15.27,5895.21,713320,18.091,21.545,83.848,7.495,2.063,0.485,0.743,CPER,4,2,55.235,25.051,20,163,679.184,1.43,1.41,495125,48.81,24.444,13,159,600.18,1.506,1.676,437531,47.97,23.666,11,158,589.859,1.528,1.776,430007,63.1,27.381,24,175,310.479,1.804,3.045,226339,50.257,26.451,14,168,247.287,2.075,4.333,180272,48.018,25.381,14,166,236.267,2.244,5.284,172239
5,5,CPER_04_DORSAL.tif,CPER,4,Dorsal,CPER_005.20160728.PASELO.01,CPER_005.20160728,PASELO,Carabidae,Scaratinae,Pasimachini,Pasimachini,Pasimachini,Pasimachus,depressus,elongatus,Pasimachus elongatus,222.736,167.262,16.727,30.818,23.98,11.826,86.359,0.1,30.819,18932.5,2290840,44.455,83.545,89.662,16.252,2.028,0.493,0.596,212.653,157.293,17.182,30.182,23.816,11.369,77.965,0.108,31.495,18075.5,2187140,36.364,79.091,73.396,16.542,2.095,0.477,0.585,CPER,4,5,51.138,24.903,3,190,1908.73,1.903,5.365,1391464,47.757,23.057,2,188,1782.53,1.966,6.588,1299465,48.842,21.951,2,189,1823.04,1.891,7.09,1328993,47.254,30.857,0,208,1572.87,2.341,7.292,1146622,43.399,30.258,0,206,1444.55,2.432,8.179,1053074,43.8,29.455,0,205,1457.91,2.486,8.803,1062817
4,4,CPER_04_DORSAL.tif,CPER,4,Dorsal,CPER_005.20160728.PASELO.01,CPER_005.20160728,PASELO,Carabidae,Scaratinae,Pasimachini,Pasimachini,Pasimachini,Pasimachus,depressus,elongatus,Pasimachus elongatus,207.446,145.479,18.545,24.545,23.16,11.404,88.855,0.123,26.635,17632.9,2133580,6.727,75.455,57.829,16.491,2.031,0.492,0.608,196.851,135.732,17.273,24.818,23.398,10.712,93.22,0.134,26.968,16732.4,2024620,20.727,49.545,118.379,15.223,2.184,0.458,0.617,CPER,4,4,52.775,27.064,4,182,1849.43,1.926,4.582,1348234,49.893,25.675,2,179,1748.46,1.994,5.257,1274627,51.473,24.733,2,180,1803.83,1.914,5.349,1314993,45.987,25.571,0,183,1640.97,1.987,4.984,1196267,41.96,23.941,0,182,1497.25,2.049,5.921,1091498,41.824,22.781,0,183,1492.42,2.137,6.993,1087974
9,6,CPER_04_DORSAL.tif,CPER,4,Dorsal,CPER_002.20160714.PASELO.01,CPER_002.20160714,PASELO,Carabidae,Scaratinae,Pasimachini,Pasimachini,Pasimachini,Pasimachus,depressus,elongatus,Pasimachus elongatus,238.653,184.997,18.545,35.091,25.306,12.007,93.542,0.088,35.095,20285.5,2454540,85.273,136.091,89.109,16.276,2.108,0.474,0.56,233.521,185.014,20,35.455,26.167,11.363,79.81,0.086,35.805,19849.3,2401760,85.364,132.727,81.973,16.7,2.303,0.434,0.547,CPER,4,6,48.909,21.029,1,184,1947.78,1.744,5.001,1419932,47.491,19.97,2,178,1891.32,1.679,5.213,1378769,49.554,19.309,4,182,1973.45,1.474,4.685,1438643,42.54,22.763,0,177,1655.49,1.762,4.276,1206855,39.778,21.662,0,178,1548.02,1.686,4.354,1128507,40.691,20.576,0,179,1583.55,1.638,4.403,1154406
10,10,CPER_04_DORSAL.tif,CPER,4,Dorsal,CPER_002.20160714.PASELO.01,CPER_002.20160714,PASELO,Carabidae,Scaratinae,Pasimachini,Pasimachini,Pasimachini,Pasimachus,depressus,elongatus,Pasimachus elongatus,209.041,200.395,20.364,34.636,24.49,10.868,88.612,0.065,35.528,17768.5,2149990,105.364,103.545,102.863,19.322,2.253,0.444,0.465,218.926,199.947,18.727,35.364,25.401,10.974,95.842,0.069,35.61,18608.7,2251650,108.727,133.545,83.256,17.494,2.315,0.432,0.52,CPER,4,10,53.482,26.287,2,185,1891.08,1.715,4.388,1378600,51.078,25.021,1,183,1806.1,1.796,5.256,1316644,52.387,23.897,2,181,1852.36,1.736,5.467,1350371,50.15,36.39,0,194,1820.73,2.241,4.873,1327316,47.015,35.872,1,193,1706.92,2.334,5.42,1244344,47.342,34.957,0,192,1718.79,2.376,5.746,1252995
